,Row ID,System Name,Host Name,Number of Planets,Stellar Parameter Reference,Stellar Effective Temperature [K],Stellar Mass [Solar mass],Stellar Metallicity [dex],Stellar Metallicity Ratio
1,1826,HAT-P-17,HAT-P-17,2,TICv8,5336.9600+118.2100-91.8527,0.9200000+0.1542520-0.0788848,0.0512329±0.0280899,[M/H]
1,1834,HAT-P-18,HAT-P-18,1,TICv8,4790.000+107.643-127.605,0.7730000+0.0759889-0.1052010,0.14±0.08,[M/H]
1,1837,HAT-P-19,HAT-P-19,1,TICv8,5007.000+114.727-114.722,0.8310000+0.0975827-0.0975749,0.32±0.07,[M/H]
1,1846,HAT-P-2,HAT-P-2,2,TICv8,6412.830+102.682-110.120,1.290000+0.224551-0.158558,0.0535135±0.0406867,[M/H]
1,1860,HAT-P-20,HAT-P-20,1,TICv8,4604.030+129.230-125.095,0.7300000+0.0709188-0.1023460,0.2110400±0.0887045,[M/H]
1,1868,HAT-P-21,HAT-P-21,1,TICv8,5634.0000+98.0306-152.0340,1.000000+0.108489-0.139502,0.040±0.080,[M/H]
1,1884,HAT-P-22,HAT-P-22,1,TICv8,5357.7200+97.9339-126.7860,0.9300000+0.1218040-0.1118510,0.2828090±0.0423999,[M/H]
1,1895,HAT-P-23,HAT-P-23,1,TICv8,5918.230+121.035-152.586,1.078000+0.147462-0.125775,0.1563010±0.0280899,[M/H]
1,1904,HAT-P-24,HAT-P-24,1,TICv8,6329.000+132.187-132.327,1.250000+0.224501-0.170328,-0.21±0.08,[M/H]
1,1909,HAT-P-25,HAT-P-25,1,TICv8,5610.000+101.381-137.594,0.99300000+0.16761800-0.08915640,0.42±0.08,[M/H]
1,1914,HAT-P-26,HAT-P-26,1,TICv8,5061.9000+137.5580-87.0407,0.8460000+0.1271170-0.0726025,0.0280000±0.0357771,[M/H]
1,1922,HAT-P-27,HAT-P-27,1,TICv8,5316.0000+87.1194-122.2810,0.91600000+0.12140800-0.09990420,0.30±0.03,[M/H]
1,1931,HAT-P-28,HAT-P-28,1,TICv8,5698.3800+84.4446-136.7860,1.010000+0.104216-0.146704,0.158±0.032,[M/H]
1,1932,HAT-P-29,HAT-P-29,1,TICv8,6086.000+122.096-107.926,1.141000+0.161220-0.161206,0.14±0.08,[M/H]
1,1941,HAT-P-3,HAT-P-3,1,TICv8,5224.0000+149.2680-86.8322,0.8900000+0.1462570-0.0667720,0.41±0.08,[M/H]
1,1963,HAT-P-30,HAT-P-30,1,TICv8,6338.000+162.319-124.269,1.254000+0.212762-0.150109,0.12±0.03,[M/H]
1,1993,HAT-P-33,HAT-P-33,1,TICv8,6642.280+108.769-105.737,1.400000+0.291744-0.181281,0.021±0.010,[M/H]
1,2005,HAT-P-34,HAT-P-34,1,TICv8,6509.0000+93.3101-141.0850,1.336000+0.282259-0.152511,0.080±0.050,[M/H]
1,2016,HAT-P-35,HAT-P-35,1,TICv8,6178.0000+93.1028-117.6490,1.180000+0.189512-0.140781,0.12±0.03,[M/H]
1,2024,HAT-P-36,HAT-P-36,1,TICv8,5555.050+124.615-106.607,0.9800000+0.1069150-0.1381810,0.269388±0.012390,[M/H]
1,2046,HAT-P-4,HAT-P-4,1,TICv8,5981.010+103.195-131.480,1.100000+0.139777-0.145586,0.2750000±0.0565685,[M/H]
